I-P	severe
I-P	COVID-19
O	,
O	remdesivir
O	was
O	not
O	associated
O	with
O	statistically
O	significant
O	clinical
O	benefits
O	.
O	However
O	,
O	the
O	numerical
O	reduction
O	in
O	time
O	to
O	clinical
O	improvement
O	in
O	those
O	treated
O	earlier
O	requires
O	confirmation
O	in
O	larger
O	studies
O	.
O	Funding
I-P	Chinese
I-P	Academy
I-P	of
I-P	Medical
I-P	Sciences
I-P	Emergency
I-P	Project
I-P	of
I-P	COVID-19
I-P	,
I-P	National
I-P	Key
I-P	Research
I-P	and
I-P	Development
I-P	Program
I-P	of
I-P	China
I-P	,
I-P	the
I-P	Beijing
I-P	Science
I-P	and
I-P	Technology
I-P	Project
I-P	.
